strains,I,D,E,G,F,C,B,A
AH17B002,-1,2,2,2,2,2,2,2
AH17D011,2,2,2,2,2,2,2,2
AH18H032,1,1,2,1,2,2,2,2
AH18J015,1,2,2,2,2,2,2,2
AH18I100,2,2,2,2,1,1,0,1
AH19A071,2,2,2,2,2,2,2,2
AH19B061,2,2,2,2,2,1,1,2
AH19D062,2,2,2,2,2,2,2,2
AH19I030,2,2,2,2,2,2,2,2
AH18K077,2,2,2,2,2,2,2,2
AH19A079,1,2,2,1,1,2,2,2
AH19B016,2,1,1,1,2,2,2,1
AH19B046,2,2,2,2,2,2,2,2
AH19C092,1,2,2,2,1,1,1,1
AH19F062,1,1,1,1,1,1,1,1
AH19F063,2,1,1,2,2,1,0,2
AH19I013,2,2,2,2,1,2,1,2
AH19I046,1,1,1,2,2,1,2,2
AH19B004,2,2,2,2,2,1,2,2
AH19C046,1,1,1,2,1,1,1,1
AH19F036,2,2,2,2,2,2,0,0
AH19J080,2,2,2,2,2,2,2,2
AH19K020,2,2,2,1,2,1,1,1
AH20B044,1,1,1,1,1,0,0,0
AH20D069,2,1,1,2,1,1,0,2
AH19J031,1,1,1,1,1,0,0,1
AH19L032,2,2,2,2,2,2,2,2
AH20D035,2,1,1,2,1,1,1,1
AH20D053,2,2,2,1,1,1,1,1
AH19J070,1,2,1,2,2,1,2,2
AH19K064,2,2,2,2,2,2,2,2
AH20B049,2,2,1,2,1,1,0,0
AH20F054,2,1,1,1,1,1,1,1
AH20E034,2,2,2,2,2,1,1,2
AH20I040,2,1,2,2,1,1,1,1
AH20J020,2,1,2,2,2,1,1,1
AH20L082,2,2,1,1,2,2,2,2
AH21A006,1,2,2,1,1,2,2,2
AH21A025,2,2,2,2,2,2,2,2
AH21A050,2,2,2,2,2,1,2,2
AH21B008,2,1,2,2,2,1,1,1
AH21E036,1,1,1,1,1,1,1,1
AH21G041,1,1,1,1,1,1,1,1
AH21C074,1,2,2,1,1,1,1,1
AH21G016,1,1,1,1,1,1,0,1
AH21G034,2,2,2,2,2,2,2,2
AH21I057,2,2,2,2,2,2,2,2
AH21J053,2,2,2,2,2,1,2,1
CPO002,1,2,2,2,2,1,1,2
CPO003,2,2,2,2,2,2,2,1
CPO006,2,1,1,1,2,2,1,1
CPO008,2,2,2,2,2,2,2,2
CPO009,1,1,1,1,1,1,1,1
CPO013,2,2,2,2,1,2,1,1
CPO014,2,2,2,2,2,2,2,2
CPO016,2,2,2,2,2,1,2,2
CPO017,2,1,2,2,2,2,2,2
CPO019,2,2,1,2,1,1,1,1
CPO020,2,2,2,2,2,2,2,2
CPO022,1,2,1,1,1,1,1,1
CPO024,2,2,2,2,1,1,1,1
CPO029,2,2,2,2,1,1,1,1
CPO033,2,2,2,1,1,1,1,1
CPO040,2,2,2,2,1,1,1,1
CPO042,2,2,1,1,1,1,1,1
CPO044,2,1,1,1,1,1,1,1
CPO049,2,1,2,2,2,2,2,2
CPO050,2,1,2,2,2,2,2,2
CPO051,1,2,2,2,2,2,2,2
CPO052,1,2,2,2,2,2,2,2
CPO053,2,1,0,0,2,2,0,1
CPO055,2,2,2,2,2,2,2,2
CPO056,2,2,2,2,2,2,2,2
CPO058,2,2,2,2,1,1,1,1
CPO060,2,2,2,2,1,1,1,1
CPO062,2,2,2,2,1,1,1,1
CPO066,2,1,1,1,1,1,1,1
CPO067,1,1,1,1,1,1,1,1
CPO068,2,2,2,2,1,1,1,1
CPO081,1,1,1,1,1,1,1,1
CPO089,2,2,2,2,2,2,2,2
CPO091,2,2,2,2,2,2,2,2
CPO092,2,2,2,2,2,2,2,2
CPO093,2,2,2,2,2,2,2,2
CPO094,2,2,2,1,1,1,1,1
CPO098,2,2,2,2,2,2,2,2
CPO123,1,1,1,1,1,1,1,1
CPO129,1,2,1,1,2,2,1,1
CPO145,2,2,1,1,2,2,1,1
CPO153,2,2,0,1,1,2,0,1
