phage,combination,time,N,OD600,sd,se,ci
APO57,APO57,0.237777777777778,2,0.107,0.0014142135623730963,0.0010000000000000009,0.012706204736174703
APO57,APO57,0.487777777777778,2,0.1125,0.0021213203435596446,0.0015000000000000013,0.019059307104262055
APO57,APO57,0.737777777777778,2,0.122,0.0028284271247461927,0.0020000000000000018,0.025412409472349407
APO57,APO57,0.987777777777778,2,0.139,0.002828427124746173,0.001999999999999988,0.02541240947234923
APO57,APO57,1.23777777777778,2,0.166,0.004242640687119289,0.0030000000000000027,0.03811861420852411
APO57,APO57,1.48777777777778,2,0.20800000000000002,0.008485281374238558,0.005999999999999991,0.07623722841704804
APO57,APO57,1.73777777777778,2,0.273,0.014142135623730925,0.009999999999999981,0.12706204736174667
APO57,APO57,1.98777777777778,2,0.4135,0.017677669529663664,0.012499999999999982,0.15882755920218342
APO57,APO57,2.23777777777778,2,0.5685,0.02050609665440982,0.014499999999999957,0.1842399686745325
APO57,APO57,2.48777777777778,2,0.6859999999999999,0.025455844122715655,0.01799999999999996,0.22871168525114396
APO57,APO57,2.73777777777778,2,0.776,0.02545584412271573,0.018000000000000013,0.22871168525114463
APO57,APO57,2.98777777777778,2,0.853,0.028284271247461926,0.020000000000000018,0.25412409472349407
APO57,APO57,3.23777777777778,2,0.918,0.024041630560342638,0.017000000000000015,0.21600548051496996
APO57,APO57,3.48777777777778,2,0.9735,0.02616295090390228,0.018500000000000013,0.23506478761923197
APO57,APO57,3.73777777777778,2,1.0245,0.02050609665440982,0.014499999999999957,0.1842399686745325
APO57,APO57,3.98777777777778,2,1.072,0.019798989873223347,0.01400000000000001,0.17788686630644582
APO57,APO57,4.23777777777778,2,1.1105,0.021920310216782913,0.015499999999999957,0.1969461734107072
APO57,APO57,4.48777777777778,2,1.1455,0.02050609665440982,0.014499999999999957,0.1842399686745325
APO57,APO57,4.73777777777778,2,1.177,0.016970562748477157,0.01200000000000001,0.15247445683409644
APO57,APO57,4.98777777777778,2,1.2109999999999999,0.01555634918610406,0.01100000000000001,0.13976825209792174
APO57,APO57,5.23777777777778,2,1.24,0.015556349186103902,0.010999999999999897,0.13976825209792032
APO57,APO57,5.48777777777778,2,1.2685,0.02333452377915601,0.01649999999999996,0.2096523781468819
APO57,APO57,5.73777777777778,2,1.2875,0.019091883092036722,0.013499999999999956,0.17153376393835779
APO57,APO57,5.98777777777778,2,1.307,0.016970562748477157,0.01200000000000001,0.15247445683409644
APO57,APO57,6.23777777777778,2,1.3275000000000001,0.01626345596729053,0.011499999999999953,0.14612135446600835
APO57,APO57,6.48777777777778,2,1.3445,0.014849242404917433,0.010499999999999954,0.13341514972983368
APO57,APO57,6.73777777777778,2,1.3565,0.007778174593052108,0.0055000000000000595,0.06988412604896156
APO57,APO57,6.98777777777778,2,1.3719999999999999,0.007071067811865481,0.0050000000000000044,0.06353102368087352
APO57,APO57,7.23777777777778,2,1.386,0.005656854249492385,0.0040000000000000036,0.05082481894469881
APO57,APO57,7.48777777777778,2,1.4020000000000001,0.007071067811865481,0.0050000000000000044,0.06353102368087352
APO57,APO57,7.73777777777778,2,1.4125,0.006363961030679012,0.0045000000000000595,0.05717792131278687
APO57,APO57,7.98777777777778,2,1.4295,0.01202081528017124,0.00849999999999995,0.10800274025748426
APO57,APO57,8.23777777777778,2,1.4465,0.01767766952966378,0.012500000000000065,0.15882755920218447
APO57,APO57,8.48777777777778,2,1.4555,0.014849242404917433,0.010499999999999954,0.13341514972983368
APO57,APO57,8.73777777777778,2,1.4625,0.007778174593051951,0.0054999999999999485,0.06988412604896016
APO57,APO57,8.98777777777778,2,1.474,0.008485281374238578,0.006000000000000005,0.07623722841704822
APO57,APO57,9.23777777777778,2,1.4825,0.003535533905932819,0.0025000000000000577,0.031765511840437466
APO57,APO57,9.48777777777778,2,1.4925000000000002,0.006363961030679012,0.0045000000000000595,0.05717792131278687
APO57,APO57,9.73777777777778,2,1.501,0.0028284271247460357,0.0019999999999998908,0.025412409472347998
