Training_host,days,phage_score
AH17D011,2025-08-01,0.24
AH17D011,2025-08-06,0.36
AH17D011,2025-08-07,0.89
AH17D011,2025-08-08,0.59
AH17D011,2025-08-09,0.88
AH17D011,2025-08-10,0.82
AH17D011,2025-08-11,0.69
AH17D011,2025-08-01,0.29
AH17D011,2025-08-06,0.35
AH17D011,2025-08-07,0.88
AH17D011,2025-08-08,0.87
AH17D011,2025-08-09,0.71
AH17D011,2025-08-10,0.9
AH17D011,2025-08-11,0.56
AH17D011,2025-08-01,0.32
AH17D011,2025-08-06,0.37
AH17D011,2025-08-07,0.68
AH17D011,2025-08-08,0.72
AH17D011,2025-08-09,0.63
AH17D011,2025-08-10,0.8
AH17D011,2025-08-11,0.57
