Strain,Nando,Taquito,B3,B5,C2
AH17D011,2,2,2,0,0
AH18J015,2,0,0,0,0
AH19B061,2,0,2,0,2
AH19K020,0,0,0,0,2
AH20F054,2,2,2,0,0
APO16,0,0,0,0,0
APO23,0,2,0,0,0
APO24,2,0,2,0,0
APO25,2,0,2,0,0
APO56,2,2,2,0,0
APO57,2,2,2,0,0
CPO006,2,2,2,0,0
CPO017,2,2,2,0,0
CPO020,2,0,0,0,0
CPO053,0,2,0,0,0
CPO066,2,2,2,0,0
CPO081,0,0,2,0,0
CPO091,2,0,2,0,0
CPO093,2,0,0,0,0
CPO123,0,2,0,0,0
CPO165,0,2,0,0,0
CPO166,0,2,0,0,0
CPO177,0,2,2,0,2
CPO179,0,0,0,0,0
CPO239,0,0,0,0,0
CPO244,2,2,2,0,2
CPO268,2,2,2,0,0
CPO272,0,0,0,0,0
CPO287,0,0,0,0,0
CPO299,0,0,0,0,0
CPO312,2,2,2,0,0
CPO351,2,2,2,2,0
CPO353,0,2,0,0,0
CPO390,2,2,2,2,0
CPO391,2,2,2,2,0
CPO448,2,2,2,2,0
