Training_host,Replicate,Days_training,Score
APO57,i,0 D,0.66
APO57,i,1 D,0.55
APO57,i,2 D,NA
APO57,i,3 D,0.58
APO57,i,4 D,0.62
APO57,i,5 D,0.76
APO57,i,6 D,NA
APO57,i,7 D,NA
APO57,i,8 D,NA
APO57,i,9 D,NA
APO57,i,10 D,0.71
APO57,i,0 D,0.58
APO57,i,1 D,0.58
APO57,i,2 D,NA
APO57,i,3 D,0.57
APO57,i,4 D,0.62
APO57,i,5 D,0.72
APO57,i,6 D,NA
APO57,i,7 D,NA
APO57,i,8 D,NA
APO57,i,9 D,NA
APO57,i,10 D,0.64
APO57,i,0 D,0.61
APO57,i,1 D,0.61
APO57,i,2 D,NA
APO57,i,3 D,0.62
APO57,i,4 D,0.62
APO57,i,5 D,0.65
APO57,i,6 D,NA
APO57,i,7 D,NA
APO57,i,8 D,NA
APO57,i,9 D,NA
APO57,i,10 D,0.81
APO57,i,0 D,0.6
APO57,i,1 D,NA
APO57,i,2 D,NA
APO57,i,3 D,NA
APO57,i,4 D,0.6
APO57,i,5 D,0.75
APO57,i,6 D,NA
APO57,i,7 D,NA
APO57,i,8 D,NA
APO57,i,9 D,NA
APO57,i,10 D,0.78
APO57,i,0 D,0.57
APO57,i,1 D,NA
APO57,i,2 D,NA
APO57,i,3 D,NA
APO57,i,4 D,0.6
APO57,i,5 D,0.65
APO57,i,6 D,NA
APO57,i,7 D,NA
APO57,i,8 D,NA
APO57,i,9 D,NA
APO57,i,10 D,0.77
APO57,i,0 D,0.62
APO57,i,1 D,NA
APO57,i,2 D,NA
APO57,i,3 D,NA
APO57,i,4 D,0.6
APO57,i,5 D,0.67
APO57,i,6 D,NA
APO57,i,7 D,NA
APO57,i,8 D,NA
APO57,i,9 D,NA
APO57,i,10 D,0.8
APO57,i,0 D,0.64
APO57,i,1 D,NA
APO57,i,2 D,NA
APO57,i,3 D,NA
APO57,i,4 D,0.54
APO57,i,5 D,NA
APO57,i,6 D,NA
APO57,i,7 D,NA
APO57,i,8 D,NA
APO57,i,9 D,NA
APO57,i,10 D,NA
APO57,i,0 D,0.6
APO57,i,1 D,NA
APO57,i,2 D,NA
APO57,i,3 D,NA
APO57,i,4 D,0.54
APO57,i,5 D,NA
APO57,i,6 D,NA
APO57,i,7 D,NA
APO57,i,8 D,NA
APO57,i,9 D,NA
APO57,i,10 D,NA
APO57,i,0 D,0.56
APO57,i,1 D,NA
APO57,i,2 D,NA
APO57,i,3 D,NA
APO57,i,4 D,0.54
APO57,i,5 D,NA
APO57,i,6 D,NA
APO57,i,7 D,NA
APO57,i,8 D,NA
APO57,i,9 D,NA
APO57,i,10 D,NA
APO57,i,0 D,0.64
APO57,i,1 D,NA
APO57,i,2 D,NA
APO57,i,3 D,NA
APO57,i,4 D,NA
APO57,i,5 D,NA
APO57,i,6 D,NA
APO57,i,7 D,NA
APO57,i,8 D,NA
APO57,i,9 D,NA
APO57,i,10 D,NA
APO57,i,0 D,0.56
APO57,i,1 D,NA
APO57,i,2 D,NA
APO57,i,3 D,NA
APO57,i,4 D,NA
APO57,i,5 D,NA
APO57,i,6 D,NA
APO57,i,7 D,NA
APO57,i,8 D,NA
APO57,i,9 D,NA
APO57,i,10 D,NA
APO57,i,0 D,0.71
APO57,i,1 D,NA
APO57,i,2 D,NA
APO57,i,3 D,NA
APO57,i,4 D,NA
APO57,i,5 D,NA
APO57,i,6 D,NA
APO57,i,7 D,NA
APO57,i,8 D,NA
APO57,i,9 D,NA
APO57,i,10 D,NA
APO57,i,0 D,0.59
APO57,i,1 D,NA
APO57,i,2 D,NA
APO57,i,3 D,NA
APO57,i,4 D,NA
APO57,i,5 D,NA
APO57,i,6 D,NA
APO57,i,7 D,NA
APO57,i,8 D,NA
APO57,i,9 D,NA
APO57,i,10 D,NA
APO57,i,0 D,0.56
APO57,i,1 D,NA
APO57,i,2 D,NA
APO57,i,3 D,NA
APO57,i,4 D,NA
APO57,i,5 D,NA
APO57,i,6 D,NA
APO57,i,7 D,NA
APO57,i,8 D,NA
APO57,i,9 D,NA
APO57,i,10 D,NA
APO57,i,0 D,0.56
APO57,i,1 D,NA
APO57,i,2 D,NA
APO57,i,3 D,NA
APO57,i,4 D,NA
APO57,i,5 D,NA
APO57,i,6 D,NA
APO57,i,7 D,NA
APO57,i,8 D,NA
APO57,i,9 D,NA
APO57,i,10 D,NA
APO57,ii,0 D,0.66
APO57,ii,1 D,NA
APO57,ii,2 D,NA
APO57,ii,3 D,NA
APO57,ii,4 D,NA
APO57,ii,5 D,0.67
APO57,ii,6 D,NA
APO57,ii,7 D,NA
APO57,ii,8 D,NA
APO57,ii,9 D,NA
APO57,ii,10 D,0.64
APO57,ii,0 D,0.58
APO57,ii,1 D,NA
APO57,ii,2 D,NA
APO57,ii,3 D,NA
APO57,ii,4 D,NA
APO57,ii,5 D,0.68
APO57,ii,6 D,NA
APO57,ii,7 D,NA
APO57,ii,8 D,NA
