Training_host,Replicate,Days_training,time,N,OD600,sd,se,ci
AH19K020,Rep 1,AH19K020,0.166666666666667,21,0.10761904761904761,0.0011608699529314427,2.533225919670552e-4,5.284216672099225e-4
AH19K020,Rep 1,AH19K020,0.333333333333333,21,0.11195238095238096,0.0016271505915615347,3.5507336918680506e-4,7.40670069221213e-4
AH19K020,Rep 1,AH19K020,0.5,21,0.11980952380952381,0.002112322125506609,4.609464777268593e-4,9.615175036841776e-4
AH19K020,Rep 1,AH19K020,0.666666666666667,21,0.13171428571428573,0.0030682708019804466,6.695515810808694e-4,0.0013966601241937606
AH19K020,Rep 1,AH19K020,0.833333333333333,21,0.14885714285714285,0.005111611431688786,0.0011154450623293074,0.0023267776274521292
AH19K020,Rep 1,AH19K020,1,21,0.17304761904761906,0.007010536288160767,0.0015298244382253078,0.003191157858872028
AH19K020,Rep 1,AH19K020,1.16666666666667,21,0.20604761904761906,0.009254599885873994,0.002019519262073679,0.004212643361735028
AH19K020,Rep 1,AH19K020,1.33333333333333,21,0.2460952380952381,0.010806964244896727,0.0023582729373771683,0.004919271146045075
AH19K020,Rep 1,AH19K020,1.5,21,0.2981904761904762,0.014503858271573977,0.0031650013523047203,0.006602077131454678
AH19K020,Rep 1,AH19K020,1.66666666666667,21,0.3888095238095238,0.03242933710025392,0.007076661523769206,0.01476165726725532
AH19K020,Rep 1,AH19K020,1.83333333333333,21,0.5381428571428571,0.043724461934123,0.00954145983496828,0.019903136449299225
AH19K020,Rep 1,AH19K020,2,21,0.6913809523809524,0.04103227533354223,0.008953976554867935,0.01867766780113005
AH19K020,Rep 1,AH19K020,2.16666666666667,21,0.8162380952380952,0.035069794356261556,0.00765285653543351,0.015963579000083987
AH19K020,Rep 1,AH19K020,2.33333333333333,21,0.9169047619047619,0.029461678095289743,0.006429065236766078,0.013410795083981701
AH19K020,Rep 1,AH19K020,2.5,21,0.9975714285714286,0.02485472073585101,0.005423744721382179,0.011313733236104408
AH19K020,Rep 1,AH19K020,2.66666666666667,21,1.0604285714285715,0.02221614599468467,0.0048479605081348815,0.010112668413757811
AH19K020,Rep 1,AH19K020,2.83333333333333,21,1.11,0.02091889098398861,0.004564876256602717,0.0095221650125651
AH19K020,Rep 1,AH19K020,3,21,1.1494285714285715,0.018874775306136564,0.004118813645983529,0.008591694711621486
AH19K020,Rep 1,AH19K020,3.16666666666667,21,1.180952380952381,0.01840238079835375,0.004015728713136092,0.008376663309737879
AH19K020,Rep 1,AH19K020,3.33333333333333,21,1.2076190476190476,0.01842410429431021,0.004020469168592261,0.008386551726542839
AH19K020,Rep 1,AH19K020,3.5,21,1.2302380952380954,0.018107746303460185,0.003951434195269671,0.008242547295608941
AH19K020,Rep 1,AH19K020,3.66666666666667,21,1.2506190476190475,0.017769288647765804,0.0038775766797098238,0.00808848321784523
AH19K020,Rep 1,AH19K020,3.83333333333333,21,1.2689523809523808,0.017013160172278965,0.0037125759190417286,0.00774429766232052
AH19K020,Rep 1,AH19K020,4,21,1.2853333333333332,0.017000980363888828,0.003709918066951354,0.0077387534800117605
AH19K020,Rep 1,AH19K020,4.16666666666667,21,1.3009523809523809,0.017027848338754373,0.0037157811397414272,0.007750983635540512
AH19K020,Rep 1,AH19K020,4.33333333333333,21,1.3158571428571428,0.016888711360804675,0.0036854189619594325,0.007687649242507883
AH19K020,Rep 1,AH19K020,4.5,21,1.3302380952380952,0.01707894833385467,0.0037269320728632836,0.00777424407443561
AH19K020,Rep 1,AH19K020,4.66666666666667,21,1.343904761904762,0.017169463479983185,0.0037466840970858503,0.007815446074973394
AH19K020,Rep 1,AH19K020,4.83333333333333,21,1.3574285714285714,0.016758793001202157,0.0036570684516240497,0.007628511114236941
AH19K020,Rep 1,AH19K020,5,21,1.3693809523809524,0.01682401911100965,0.003671301955694542,0.007658201683454498
AH19K020,Rep 1,AH19K020,5.16666666666667,21,1.3810952380952382,0.017011480717164972,0.003712209431890007,0.007743533183518137
AH19K020,Rep 1,AH19K020,5.33333333333333,21,1.392952380952381,0.017850703600912156,0.0038953428790190828,0.008125542860201184
AH19K020,Rep 1,AH19K020,5.5,21,1.404,0.018965758619153613,0.00413866783259679,0.008633109819171944
AH19K020,Rep 1,AH19K020,5.66666666666667,21,1.4145238095238095,0.01955918977774658,0.0042681651280252475,0.008903236443955496
AH19K020,Rep 1,AH19K020,5.83333333333333,21,1.424047619047619,0.019208009242178636,0.004191531252461665,0.008743380980707543
AH19K020,Rep 1,AH19K020,6,21,1.433857142857143,0.019700978945945122,0.00429910606116785,0.008967778099515262
AH19K020,Rep 1,AH19K020,6.16666666666667,21,1.4425238095238095,0.020004047209550003,0.004365240978249192,0.009105733119134901
AH19K020,Rep 1,AH19K020,6.33333333333333,21,1.4512380952380952,0.019982254031777228,0.00436048531697408,0.009095812983547438
AH19K020,Rep 1,AH19K020,6.5,21,1.4588095238095238,0.019795502134624044,0.004319732711979743,0.009010804539148388
AH19K020,Rep 1,AH19K020,6.66666666666667,21,1.4671904761904762,0.019673888907938492,0.00429319453022763,0.008955446862056583
AH19K020,Rep 1,AH19K020,6.83333333333333,21,1.4747142857142856,0.019763964321822848,0.004312850597007608,0.008996448698876634
AH19K020,Rep 1,AH19K020,7,21,1.4823333333333333,0.01981750068331861,0.004324533188864124,0.009020818158458652
AH19K020,Rep 1,AH19K020,7.16666666666667,21,1.4897619047619048,0.0188385369970833,0.0041109057986362055,0.008575199231108412
AH19K020,Rep 1,AH19K020,7.33333333333333,21,1.4966190476190475,0.019812814516055464,0.004323510583330668,0.009018685040694889
AH19K020,Rep 1,AH19K020,7.5,21,1.5036190476190476,0.01984307483853292,0.004330113927059559,0.00903245937434309
AH19K020,Rep 1,AH19K020,7.66666666666667,21,1.5107142857142857,0.019680301972131553,0.004294593975565788,0.008958366053878427
