Training_host,Replicate,Days_training,time,N,OD600,sd,se,ci
APO16,Rep 1,APO16,0.166666666666667,10,0.1187,0.03568083830604632,0.011283271787129043,0.02552453409305287
APO16,Rep 1,APO16,0.333333333333333,10,0.1267,0.04517140196579641,0.014284451531492399,0.032313674348609316
APO16,Rep 1,APO16,0.5,10,0.1207,0.004137900702315392,0.0013085190950927012,0.0029600758436221794
APO16,Rep 1,APO16,0.666666666666667,10,0.1326,0.0057193628238739296,0.0018086213288334063,0.004091385693810097
APO16,Rep 1,APO16,0.833333333333333,10,0.1506,0.007089898917944219,0.002242022896106697,0.0050718081535853395
APO16,Rep 1,APO16,1,10,0.1769,0.009218941852994239,0.0029152853872114965,0.006594833720281425
APO16,Rep 1,APO16,1.16666666666667,10,0.2123,0.013013241119891866,0.004115148167981858,0.009309111904176071
APO16,Rep 1,APO16,1.33333333333333,10,0.2603,0.02383298368041884,0.007536651186774606,0.017049089465673767
APO16,Rep 1,APO16,1.5,10,0.3305,0.04524808160451544,0.014308699762343497,0.032368527657714315
APO16,Rep 1,APO16,1.66666666666667,10,0.4276,0.06447256091633953,0.020388013907958545,0.04612089169711785
APO16,Rep 1,APO16,1.83333333333333,10,0.5601,0.056614583908310326,0.017903103393297794,0.04049963357746545
APO16,Rep 1,APO16,2,10,0.6904,0.04681690103180924,0.01480480402512043,0.03349079346924987
APO16,Rep 1,APO16,2.16666666666667,10,0.8028,0.04195182422202346,0.013266331654061549,0.03001052717529189
APO16,Rep 1,APO16,2.33333333333333,10,0.8984,0.03785410589795158,0.011970519342674036,0.027079196073444528
APO16,Rep 1,APO16,2.5,10,0.9788,0.0329066018367811,0.010405981186050864,0.023539964875968322
APO16,Rep 1,APO16,2.66666666666667,10,1.0491,0.03015681238681132,0.00953642141127025,0.021572884002967162
APO16,Rep 1,APO16,2.83333333333333,10,1.1056,0.027407217216557284,0.008666923073130129,0.01960594210930235
APO16,Rep 1,APO16,3,10,1.1542,0.0238224917066018,0.0075333333333333355,0.017041583959746483
APO16,Rep 1,APO16,3.16666666666667,10,1.1937,0.02075277759187378,0.006562604496522538,0.014845642768420167
APO16,Rep 1,APO16,3.33333333333333,10,1.2248000000000001,0.018593905811672074,0.00587990929635256,0.013301278931347695
APO16,Rep 1,APO16,3.5,10,1.2495,0.017373351240717285,0.005493936051077886,0.012428146789901125
APO16,Rep 1,APO16,3.66666666666667,10,1.2709,0.01641442455078256,0.005190696806145907,0.011742171959936728
APO16,Rep 1,APO16,3.83333333333333,10,1.2903,0.016173022805482804,0.0051143588715172,0.011569483554323178
APO16,Rep 1,APO16,4,10,1.3086,0.015621921919035614,0.004940085469346106,0.011175249729316624
APO16,Rep 1,APO16,4.16666666666667,10,1.3251,0.015271251131165089,0.004829193629490445,0.01092439495949127
APO16,Rep 1,APO16,4.33333333333333,10,1.3411,0.015329347307987002,0.004847565253700958,0.010965954460791318
APO16,Rep 1,APO16,4.5,10,1.3559,0.015051393438630344,0.004759668522538566,0.010767118240805767
APO16,Rep 1,APO16,4.66666666666667,10,1.3704,0.0154502786742217,0.004885807109486721,0.011052463548775779
APO16,Rep 1,APO16,4.83333333333333,10,1.3832,0.015302868285970984,0.004839191851722522,0.010947012509528812
APO16,Rep 1,APO16,5,10,1.3959,0.014940251373759112,0.004724522315653837,0.01068761199715629
APO16,Rep 1,APO16,5.16666666666667,10,1.4076,0.014645439183885525,0.004631294515455581,0.010476716061165885
APO16,Rep 1,APO16,5.33333333333333,10,1.4188,0.014710540438746617,0.004651881339845197,0.010523286693418123
APO16,Rep 1,APO16,5.5,10,1.4296,0.014206414826486779,0.004492462823688398,0.010162656955211359
APO16,Rep 1,APO16,5.66666666666667,10,1.4398,0.013660974424330853,0.004319979423819304,0.0097724723967337
APO16,Rep 1,APO16,5.83333333333333,10,1.4495,0.013664633995179743,0.004321136681733429,0.009775090296013344
APO16,Rep 1,APO16,6,10,1.4589,0.01357653203959769,0.004293276397138002,0.009712065953658202
APO16,Rep 1,APO16,6.16666666666667,10,1.4683000000000002,0.013719815353470825,0.004338586559391592,0.00981456466174771
APO16,Rep 1,APO16,6.33333333333333,10,1.4773,0.013182901383568412,0.004168799454146121,0.009430479545465893
APO16,Rep 1,APO16,6.5,10,1.4858,0.013155480480266232,0.004160128203152708,0.009410863812920724
APO16,Rep 1,APO16,6.66666666666667,10,1.4945,0.013209844813622902,0.004177319714841083,0.00944975371422591
APO16,Rep 1,APO16,6.83333333333333,10,1.5028,0.013389880092401418,0.0042342518688534315,0.009578543194218475
APO16,Rep 1,APO16,7,10,1.5106,0.013467656729282086,0.004258847000982508,0.009634181248534233
APO16,Rep 1,APO16,7.16666666666667,10,1.5184,0.013890044396377327,0.0043924177093411,0.009936339183187653
APO16,Rep 1,APO16,7.33333333333333,10,1.5264,0.01415940990609741,0.004477598562721868,0.010129031660796222
APO16,Rep 1,APO16,7.5,10,1.5332999999999999,0.014150382798120125,0.0044747439405326194,0.01012257405676373
APO16,Rep 1,APO16,7.66666666666667,10,1.5406,0.014713561393792077,0.00465283664971046,0.01052544775447252
APO16,Rep 1,APO16,7.83333333333333,10,1.5469,0.015365545873804811,0.004859012245302537,0.010991849354835322
APO16,Rep 1,APO16,8,10,1.5537,0.015649281133649565,0.00494873721266345,0.011194821332432646
APO16,Rep 1,APO16,8.16666666666667,10,1.5596,0.015917844633548138,0.005033664448270039,0.011386940086776744
APO16,Rep 1,APO16,8.33333333333333,10,1.566,0.01646545204697126,0.005206833117271092,0.011778674831729707
APO16,Rep 1,APO16,8.5,10,1.5717,0.017172652678022732,0.005430469592954197,0.01228457568705919
APO16,Rep 1,APO16,8.66666666666667,10,1.5776,0.017902203464626645,0.0056611738083977795,0.01280646488051263
APO16,Rep 1,APO16,8.83333333333333,10,1.5827,0.01836088838325156,0.0058062227155201524,0.013134588304715557
APO16,Rep 1,APO16,9,10,1.588,0.01933333333333336,0.0061137368096588745,0.013830233515432869
APO16,Rep 1,APO16,9.16666666666667,10,1.5932,0.019611787838497128,0.006201791855764137,0.014029427868700414
APO16,Rep 1,APO16,9.33333333333333,10,1.5985,0.02035381482125103,0.006436441390844618,0.014560241995229994
APO16,Rep 1,APO16,9.5,10,1.6029,0.020835066594565972,0.006588626564011644,0.014904508774781467
APO16,Rep 1,APO16,9.66666666666667,10,1.6076000000000001,0.021256110232641845,0.0067217722530759794,0.015205705248994054
APO16,Rep 1,APO16,9.83333333333333,10,1.612,0.02211585655386449,0.006993647911577411,0.01582073071726355
APO16,Rep 1,APO16,10,10,1.6161,0.022377816396303426,0.007076486887337999,0.016008125499639227
APO16,Rep 1,APO16,10.1666666666667,10,1.6203,0.02288643460412493,0.007237326086952881,0.016371969047106763
APO16,Rep 1,APO16,10.3333333333333,10,1.6244,0.0236605625931046,0.007482126851519029,0.016925746850128553
APO16,Rep 1,APO16,10.5,10,1.6285,0.02380126047082377,0.007526619427073473,0.01702639604861038
APO16,Rep 1,APO16,10.6666666666667,10,1.6322,0.02442130217658347,0.007722693830523131,0.017469947164815407
APO16,Rep 1,APO16,10.8333333333333,10,1.636,0.024957742063113148,0.007892331017442739,0.017853693142282537
APO16,Rep 1,APO16,11,10,1.6395,0.025717482164646092,0.008132581932503907,0.018397178470656982
APO16,Rep 1,APO16,11.1666666666667,10,1.6434,0.026272926496046563,0.008308228852569394,0.018794519409006567
APO16,Rep 1,APO16,11.3333333333333,10,1.6471,0.026697690287114106,0.008442550957303526,0.019098377120353015
APO16,Rep 1,APO16,11.5,10,1.6505999999999998,0.027039888231195724,0.00855076344869601,0.019343170782860762
APO16,Rep 1,APO16,11.6666666666667,10,1.6539,0.027581998960674824,0.008722193913612945,0.019730973436994433
APO16,Rep 1,APO16,11.8333333333333,10,1.6572,0.02782005671373725,0.008797474385046864,0.019901269694667496
APO16,Rep 1,APO16,12,10,1.6604999999999999,0.02788169451250924,0.008816965968454726,0.01994536271968787
APO16,Rep 1,APO16,12.1666666666667,10,1.6636,0.028233943322808368,0.008928356822817708,0.020197346338755303
APO16,Rep 1,APO16,12.3333333333333,10,1.6667999999999998,0.028681391567046105,0.009069852381501164,0.020517431530335216
APO16,Rep 1,APO16,12.5,10,1.6693,0.02898294517662265,0.009165212005791868,0.020733149987466178
APO16,Rep 1,APO16,12.6666666666667,10,1.6721,0.029520049683788418,0.009335059364210474,0.02111737140589518
APO16,Rep 1,APO16,12.8333333333333,10,1.6745999999999999,0.029717933231561636,0.009397635636454285,0.021258928768372726
APO16,Rep 1,APO16,13,10,1.6775,0.030074906483645147,0.009510520490488419,0.021514292049497473
APO16,Rep 1,APO16,13.1666666666667,10,1.6799,0.030635672743461122,0.009687850352087642,0.02191544006609217
APO16,Rep 1,APO16,13.3333333333333,10,1.6824999999999999,0.030761628334302776,0.00972768100719683,0.022005543267846366
APO16,Rep 1,APO16,13.5,10,1.6846,0.031195441262395367,0.009864864700316773,0.022315874341856754
APO16,Rep 1,APO16,13.6666666666667,10,1.6873,0.031393736105577934,0.009927571035589056,0.022457725927345774
APO16,Rep 1,APO16,13.8333333333333,10,1.6896,0.03162347932224484,0.010000222219753153,0.02262207432398836
APO16,Rep 1,APO16,14,10,1.6917,0.0321491316627163,0.010166448085081966,0.022998103355884262
APO16,Rep 1,APO16,14.1666666666667,10,1.6937,0.032424442083780675,0.010253508884496308,0.023195048566878353
APO16,Rep 1,APO16,14.3333333333333,10,1.696,0.03300841643513904,0.010438177789037497,0.023612798652032304
APO16,Rep 1,APO16,14.5,10,1.6982,0.03337597272823007,0.010554409294487102,0.023875732584627947
APO16,Rep 1,APO16,14.6666666666667,10,1.7002,0.033759936808787604,0.01067582939791252,0.024150403941299456
APO16,Rep 1,APO16,14.8333333333333,10,1.7021,0.03393277668174727,0.010730486164817189,0.024274046138048243
APO16,Rep 1,APO16,15,10,1.7041,0.034248925368380354,0.010830461157720326,0.024500205284344774
APO16,Rep 1,APO16,15.1666666666667,10,1.7061,0.03480565088219631,0.011006513223238923,0.024898462725383087
APO16,Rep 1,APO16,15.3333333333333,10,1.7081,0.03480565088219631,0.011006513223238923,0.024898462725383087
APO16,Rep 1,APO16,15.5,10,1.7099,0.03546657268157972,0.011215515047369767,0.025371257698878567
APO16,Rep 1,APO16,15.6666666666667,10,1.7117,0.035440247052060864,0.011207190152358033,0.02535242547799823
APO16,Rep 1,APO16,15.8333333333333,10,1.7132,0.035779572073709576,0.01131449414590762,0.025595163975603283
APO16,Rep 1,APO16,16,10,1.7153,0.03622169392934448,0.011454305352622266,0.025911438898312277
APO16,Rep 1,APO16,16.1666666666667,10,1.7166,0.03679734289924262,0.011636341540383047,0.026323233364343807
APO16,Rep 1,APO16,16.3333333333333,10,1.7184,0.03705311502874397,0.011717223789504629,0.02650620172353742
APO16,Rep 1,APO16,16.5,10,1.7201,0.037521697426659416,0.011865402554392243,0.026841405377902527
APO16,Rep 1,APO16,16.6666666666667,10,1.7216,0.03767168108215445,0.011912831550708476,0.026948697221643624
APO16,Rep 1,APO16,16.8333333333333,10,1.7232,0.03805493105732525,0.012034025834182747,0.027222857738095144
APO16,Rep 1,APO16,17,10,1.7247,0.038291426368487924,0.012108812218105176,0.027392036292165044
APO16,Rep 1,APO16,17.1666666666667,10,1.7261,0.03856725727003845,0.01219603760790091,0.027589353832469327
APO16,Rep 1,APO16,17.3333333333333,10,1.7277,0.03932217355809992,0.012434763099204313,0.028129388412563842
APO16,Rep 1,APO16,17.5,10,1.7288000000000001,0.03948501825587356,0.012486259114188958,0.02824588049171692
APO16,Rep 1,APO16,17.6666666666667,10,1.7303,0.040002916560337595,0.012650032938033528,0.028616362620405764
APO16,Rep 1,APO16,17.8333333333333,10,1.7317,0.04026592162666147,0.012733202442608237,0.028804505110905824
APO16,Rep 1,APO16,18,10,1.733,0.040734915408446995,0.012881511298498061,0.029140003051563394
APO16,Rep 1,APO16,18.1666666666667,10,1.7344,0.04119924486902369,0.013028345166512034,0.02947216433783257
APO16,Rep 1,APO16,18.3333333333333,10,1.7356,0.0413392468888021,0.013072617692464405,0.029572315749530894
APO16,Rep 1,APO16,18.5,10,1.7367,0.04184641229809579,0.013232997476846364,0.029935120027538575
APO16,Rep 1,APO16,18.6666666666667,10,1.7378,0.041715438122807466,0.01319157980598904,0.02984142674674226
APO16,Rep 1,APO16,18.8333333333333,10,1.7394,0.042116768895799975,0.01331849173976627,0.030128521486780996
APO16,Rep 1,APO16,19,10,1.7404,0.04268801549225109,0.01349913577480673,0.030537166684564538
APO16,Rep 1,APO16,19.1666666666667,10,1.7417,0.04261468187269628,0.013475945648120984,0.030484706973376182
APO16,Rep 1,APO16,19.3333333333333,10,1.7426,0.04271923844514708,0.013509009339449478,0.03055950223954348
APO16,Rep 1,APO16,19.5,10,1.7437,0.04293159934386587,0.013576163752040647,0.0307114160750001
APO16,Rep 1,APO16,19.6666666666667,10,1.7447,0.04329241657996623,0.013690264180553035,0.030969529176637745
APO16,Rep 1,APO16,19.8333333333333,10,1.746,0.04327688631231325,0.013685353078707491,0.030958419492420616
APO16,Rep 1,APO16,20,10,1.7467000000000001,0.04367569881142906,0.013811468664362475,0.03124371276785053
APO16,Rep 1,APO16,20.1666666666667,10,1.7476,0.043709139649378705,0.013822043585841022,0.03126763490221925
APO16,Rep 1,D 0,0.166666666666667,9,0.10677777777777778,0.0015634719199411446,5.211573066470482e-4,0.0012017909042199586
APO16,Rep 1,D 0,0.333333333333333,9,0.11055555555555556,0.0018782379449307758,6.260793149769253e-4,0.001443741489302581
APO16,Rep 1,D 0,0.5,9,0.11733333333333333,0.002291287847477916,7.63762615825972e-4,0.0017612397504090421
