Phage,Host,Time,N,OD600,sd,se,ci
Cocktail,APO57,0.237777777777778,2,0.3005,0.0021213203435596446,0.0015000000000000013,0.019059307104262055
Cocktail,APO57,0.487777777777778,2,0.3485,0.0021213203435596446,0.0015000000000000013,0.019059307104262055
Cocktail,APO57,0.737777777777778,2,0.3915,0.0021213203435596446,0.0015000000000000013,0.019059307104262055
Cocktail,APO57,0.987777777777778,2,0.4175,7.071067811865482e-4,5.000000000000004e-4,0.006353102368087352
Cocktail,APO57,1.23777777777778,2,0.433,0.009899494936611674,0.007000000000000005,0.08894343315322291
Cocktail,APO57,1.48777777777778,2,0.4615,0.024748737341529145,0.017499999999999984,0.2223585828830569
Cocktail,APO57,1.73777777777778,2,0.475,0.028284271247461888,0.01999999999999999,0.25412409472349373
Cocktail,APO57,1.98777777777778,2,0.4905,0.028991378028648474,0.020500000000000018,0.2604771970915814
Cocktail,APO57,2.23777777777778,2,0.499,0.029698484809835023,0.02100000000000002,0.2668302994596688
Cocktail,APO57,2.48777777777778,2,0.5075000000000001,0.03040559159102157,0.02150000000000002,0.27318340182775613
Cocktail,APO57,2.73777777777778,2,0.517,0.033941125496954314,0.02400000000000002,0.3049489136681929
Cocktail,APO57,2.98777777777778,2,0.526,0.033941125496954314,0.02400000000000002,0.3049489136681929
Cocktail,APO57,3.23777777777778,2,0.5305,0.03181980515339467,0.022500000000000023,0.28588960656393086
Cocktail,APO57,3.48777777777778,2,0.5345,0.028991378028648474,0.020500000000000018,0.2604771970915814
Cocktail,APO57,3.73777777777778,2,0.5355000000000001,0.024748737341529183,0.017500000000000012,0.22235858288305727
Cocktail,APO57,3.98777777777778,2,0.535,0.02262741699796954,0.016000000000000014,0.20329927577879525
Cocktail,APO57,4.23777777777778,2,0.5305,0.019091883092036802,0.013500000000000012,0.1715337639383585
Cocktail,APO57,4.48777777777778,2,0.5285,0.017677669529663705,0.012500000000000011,0.1588275592021838
Cocktail,APO57,4.73777777777778,2,0.5255000000000001,0.01626345596729061,0.01150000000000001,0.1461213544660091
Cocktail,APO57,4.98777777777778,2,0.523,0.01555634918610406,0.01100000000000001,0.13976825209792174
Cocktail,APO57,5.23777777777778,2,0.5205,0.014849242404917511,0.01050000000000001,0.1334151497298344
Cocktail,APO57,5.48777777777778,2,0.518,0.01555634918610406,0.01100000000000001,0.13976825209792174
Cocktail,APO57,5.73777777777778,2,0.5165,0.01626345596729061,0.01150000000000001,0.1461213544660091
Cocktail,APO57,5.98777777777778,2,0.515,0.01555634918610406,0.01100000000000001,0.13976825209792174
Cocktail,APO57,6.23777777777778,2,0.5135000000000001,0.014849242404917511,0.01050000000000001,0.1334151497298344
Cocktail,APO57,6.48777777777778,2,0.513,0.01555634918610406,0.01100000000000001,0.13976825209792174
Cocktail,APO57,6.73777777777778,2,0.512,0.01555634918610406,0.01100000000000001,0.13976825209792174
