host,phage,time,N,OD600,sd,se,ci
AH17E146,Cocktail,0.237777777777778,6,0.10283333333333333,0.008232051182218602,0.003360720822151767,0.008639007900068071
AH17E146,Cocktail,0.487777777777778,6,0.10666666666666667,0.01009290179614697,0.004120409904096653,0.010591850854846822
AH17E146,Cocktail,0.737777777777778,6,0.11,0.012280065146406997,0.005013315602805525,0.012887138024883999
AH17E146,Cocktail,0.987777777777778,6,0.10966666666666666,0.012956336930887009,0.0052894024027084355,0.013596841737773379
AH17E146,Cocktail,1.23777777777778,6,0.11,0.013326664999166144,0.005440588203494177,0.013985477211079336
AH17E146,Cocktail,1.48777777777778,6,0.109,0.012664912159190049,0.00517042873786433,0.013291010196006038
AH17E146,Cocktail,1.73777777777778,6,0.10733333333333334,0.012209286083414815,0.004984420171338332,0.01281285995362156
AH17E146,Cocktail,1.98777777777778,6,0.10500000000000001,0.010658330075579385,0.00435124503255486,0.011185231443088264
AH17E146,Cocktail,2.23777777777778,6,0.10233333333333333,0.008755950357709132,0.0035746017649212034,0.009188806366539954
AH17E146,Cocktail,2.48777777777778,6,0.0995,0.007120393247567159,0.0029068883707497263,0.007472394444071685
AH17E146,Cocktail,2.73777777777778,6,0.0975,0.006090976933136425,0.002486630920207769,0.006392088275417703
AH17E146,Cocktail,2.98777777777778,6,0.0955,0.00535723809439155,0.0021870832936432337,0.0056220765876629384
AH17E146,Cocktail,3.23777777777778,6,0.09466666666666666,0.004676180777800053,0.001909042808436849,0.004907350766819899
AH17E146,Cocktail,3.48777777777778,6,0.09366666666666666,0.003983298465677245,0.0016261747890200639,0.004180215374224691
AH17E146,Cocktail,3.73777777777778,6,0.09283333333333334,0.00392003401345788,0.0016003471845543755,0.004113823403327193
AH17E146,Cocktail,3.98777777777778,6,0.09266666666666666,0.003669695718539439,0.0014981470036162835,0.003851109474608989
AH17E146,Cocktail,4.23777777777778,6,0.09233333333333334,0.0034448028487370197,0.0014063348739819337,0.0036150988818798428
AH17E146,Cocktail,4.48777777777778,6,0.09216666666666666,0.003488074922742728,0.00142400062421959,0.0036605101385536504
AH17E146,Cocktail,4.73777777777778,6,0.09216666666666666,0.003488074922742728,0.00142400062421959,0.0036605101385536504
AH17E146,Cocktail,4.98777777777778,6,0.09183333333333334,0.0031885210782848345,0.001301708279317777,0.0033461476581116783
AH17E146,Cocktail,5.23777777777778,6,0.09183333333333334,0.0031885210782848345,0.001301708279317777,0.0033461476581116783
AH17E146,Cocktail,5.48777777777778,6,0.09183333333333334,0.0031885210782848345,0.001301708279317777,0.0033461476581116783
AH17E146,Cocktail,5.73777777777778,6,0.09166666666666666,0.0030110906108363265,0.0012292725943057194,0.00315994580196781
AH17E146,Cocktail,5.98777777777778,6,0.09166666666666666,0.0030110906108363265,0.0012292725943057194,0.00315994580196781
AH17E146,Cocktail,6.23777777777778,6,0.09166666666666666,0.0030110906108363265,0.0012292725943057194,0.00315994580196781
AH17E146,Cocktail,6.48777777777778,6,0.0915,0.003016620625799674,0.0012315302134607456,0.0031657491967595048
AH17E146,Cocktail,6.73777777777778,6,0.09166666666666666,0.0030110906108363265,0.0012292725943057194,0.00315994580196781
AH17E146,Cocktail,6.98777777777778,6,0.09166666666666666,0.0030110906108363265,0.0012292725943057194,0.00315994580196781
AH17E146,Cocktail,7.23777777777778,6,0.09166666666666666,0.0030110906108363265,0.0012292725943057194,0.00315994580196781
AH17E146,Cocktail,7.48777777777778,6,0.0915,0.003016620625799674,0.0012315302134607456,0.0031657491967595048
AH17E146,Cocktail,7.73777777777778,6,0.09133333333333334,0.003204163957519447,0.00130809445802324,0.0033625638530910694
AH17E146,Cocktail,7.98777777777778,6,0.0915,0.003016620625799674,0.0012315302134607456,0.0031657491967595048
AH17E146,Cocktail,8.23777777777778,6,0.09133333333333334,0.003076794869123823,0.0012560962454277861,0.00322889819230764
AH17E146,Cocktail,8.48777777777778,6,0.0915,0.003016620625799674,0.0012315302134607456,0.0031657491967595048
AH17E146,Cocktail,8.73777777777778,6,0.0915,0.003016620625799674,0.0012315302134607456,0.0031657491967595048
AH17E146,Cocktail,8.98777777777778,6,0.09166666666666666,0.003204163957519447,0.00130809445802324,0.0033625638530910694
AH17E146,Cocktail,9.23777777777778,6,0.09166666666666666,0.003502380143083656,0.0014298407059684826,0.0036755225466159848
AH17E146,Cocktail,9.48777777777778,6,0.09183333333333334,0.0037638632635454083,0.0015365907428821495,0.003949932252459763
AH17E146,Cocktail,9.73777777777778,6,0.0925,0.004230839160261239,0.0017272328544042169,0.004439993401445742
AH17E146,Cocktail,9.98777777777778,6,0.093,0.005621387729022078,0.002294921930407801,0.005899284628509718
AH17E146,Cocktail,10.2377777777778,6,0.09383333333333332,0.00793515385274077,0.003239512994949156,0.008327433261124093
AH17E146,Cocktail,10.4877777777778,6,0.0955,0.011362218093312589,0.004638606112472438,0.011923916615393224
AH17E146,Cocktail,10.7377777777778,6,0.09766666666666667,0.0170489491367259,0.006960204339273702,0.01789177484685403
AH17E146,Cocktail,10.9877777777778,6,0.10066666666666667,0.024328309983775418,0.009931990960751246,0.02553099555541121
AH17E146,Cocktail,11.2377777777778,6,0.104,0.03295451410656817,0.013453624047073714,0.0345836415988876
AH17E146,Cocktail,11.4877777777778,6,0.1075,0.04100121949405896,0.016738677765383184,0.043028141016263455
AH17E146,Cocktail,11.7377777777778,6,0.11133333333333333,0.050373273336826806,0.020564802724828437,0.05286350833788815
AH17E146,Cocktail,11.9877777777778,6,0.11483333333333333,0.05943203401084861,0.02426302628371911,0.0623700946424948
AH17E146,Cocktail,12.2377777777778,6,0.11466666666666667,0.05852748642019976,0.023893746276193513,0.06142083016288585
