Training_host,Replicate,Days_training,time,N,OD600,sd,se,ci
AH17D011,Rep 1,AH17D011,0.166666666666667,12,0.11683333333333333,0.0035887028128263644,0.0010359692675134344,0.0022801529841080742
AH17D011,Rep 1,AH17D011,0.333333333333333,12,0.1225,0.0044619604333847405,0.0012880570286640696,0.002834994405441348
AH17D011,Rep 1,AH17D011,0.5,12,0.13225,0.0060920962208123675,0.001758636696507561,0.003870733271005725
AH17D011,Rep 1,AH17D011,0.666666666666667,12,0.146,0.008301149975099287,0.0023963355863535142,0.00527429906416358
AH17D011,Rep 1,AH17D011,0.833333333333333,12,0.164,0.010600171525198841,0.0030600059417648785,0.006735027667616737
AH17D011,Rep 1,AH17D011,1,12,0.18583333333333332,0.013677010128701593,0.003948212739757552,0.008689957649091123
AH17D011,Rep 1,AH17D011,1.16666666666667,12,0.2105,0.015006059382190186,0.004331876211891507,0.009534395257727191
AH17D011,Rep 1,AH17D011,1.33333333333333,12,0.23641666666666666,0.015854212708490467,0.004576716987518279,0.010073286171467041
AH17D011,Rep 1,AH17D011,1.5,12,0.2643333333333333,0.015476277056034875,0.004467616362177482,0.00983315731413523
AH17D011,Rep 1,AH17D011,1.66666666666667,12,0.2921666666666667,0.014319937362314331,0.00413380984545538,0.009098454124488002
AH17D011,Rep 1,AH17D011,1.83333333333333,12,0.32058333333333333,0.01458179645581394,0.0042094020545162545,0.009264831454849532
AH17D011,Rep 1,AH17D011,2,12,0.3496666666666667,0.014612157661178968,0.004218166579561465,0.009284122044409293
AH17D011,Rep 1,AH17D011,2.16666666666667,12,0.3760833333333333,0.012131539161386023,0.0035020737002553538,0.007708012243809247
AH17D011,Rep 1,AH17D011,2.33333333333333,12,0.39775,0.010037429949942358,0.0028975564417856163,0.006377478728898074
AH17D011,Rep 1,AH17D011,2.5,12,0.41766666666666663,0.008793937305515287,0.0025385910352879715,0.005587401196210495
AH17D011,Rep 1,AH17D011,2.66666666666667,12,0.4360833333333333,0.0108749782305599,0.0031393358044225395,0.0069096315180783565
AH17D011,Rep 1,AH17D011,2.83333333333333,12,0.4545,0.016340134638368187,0.0047169905660283005,0.01038202623612055
AH17D011,Rep 1,AH17D011,3,12,0.4673333333333333,0.013956642819384557,0.004028935744377566,0.008867627784337782
AH17D011,Rep 1,AH17D011,3.16666666666667,12,0.478,0.010954451150103321,0.003162277660168379,0.0069601262021199125
AH17D011,Rep 1,AH17D011,3.33333333333333,12,0.49075,0.00990064277068552,0.002858069384402804,0.006290568301582817
AH17D011,Rep 1,AH17D011,3.5,12,0.50325,0.01214402209843481,0.003505677213788051,0.007715943523618904
AH17D011,Rep 1,AH17D011,3.66666666666667,12,0.515,0.013184012356569685,0.0038058965415324305,0.008376721808756971
AH17D011,Rep 1,AH17D011,3.83333333333333,12,0.5274166666666666,0.014569322273707582,0.0042058010683177416,0.00925690573766491
AH17D011,Rep 1,AH17D011,4,12,0.5388333333333334,0.016151742564775716,0.0046626064588273985,0.010262327623226531
AH17D011,Rep 1,AH17D011,4.16666666666667,12,0.5496666666666666,0.016516291314574164,0.004767842618241836,0.010493950848402746
AH17D011,Rep 1,AH17D011,4.33333333333333,12,0.5670833333333333,0.015888579851483543,0.004586637927147444,0.010095122012365
AH17D011,Rep 1,AH17D011,4.5,12,0.5780833333333333,0.015939991635296837,0.0046014792307595065,0.010127787501371563
AH17D011,Rep 1,AH17D011,4.66666666666667,12,0.5902499999999999,0.01942877434958967,0.005608604050380046,0.01234445428371634
AH17D011,Rep 1,AH17D011,4.83333333333333,12,0.6156666666666667,0.03753140099444812,0.010834382233604205,0.023846314514923358
AH17D011,Rep 1,AH17D011,5,12,0.6214999999999999,0.033541019662496854,0.009682458365518546,0.021310947175711463
AH17D011,Rep 1,AH17D011,5.16666666666667,12,0.6603333333333333,0.06775535313750404,0.019559285686488057,0.04304969753795301
AH17D011,Rep 1,AH17D011,5.33333333333333,12,0.6448333333333334,0.026808524198414386,0.0077389543312655715,0.017033323637742435
AH17D011,Rep 1,AH17D011,5.5,12,0.6795833333333333,0.04594553758791406,0.013263334247222126,0.02919240185147111
AH17D011,Rep 1,AH17D011,5.66666666666667,12,0.6795,0.029709196617148072,0.00857630633215898,0.01887632296548187
AH17D011,Rep 1,AH17D011,5.83333333333333,12,0.70425,0.027226741533746813,0.007859683276832544,0.017299046255328854
AH17D011,Rep 1,AH17D011,6,12,0.7204166666666667,0.03026686857495063,0.008737292359637387,0.019230650822943944
AH17D011,Rep 1,AH17D011,6.16666666666667,12,0.7444166666666666,0.03186179910840322,0.009197709146051189,0.020244021337297805
AH17D011,Rep 1,AH17D011,6.33333333333333,12,0.75275,0.031314025321222815,0.009039580474309375,0.01989598247740907
AH17D011,Rep 1,AH17D011,6.5,12,0.7688333333333334,0.031156010169740435,0.00899396542918718,0.01979558444001821
AH17D011,Rep 1,AH17D011,6.66666666666667,12,0.7984166666666667,0.029641673162606505,0.008556813989830886,0.018833420609282305
AH17D011,Rep 1,AH17D011,6.83333333333333,12,0.8225833333333333,0.029678453565854895,0.008567431577689067,0.018856789762594132
AH17D011,Rep 1,AH17D011,7,12,0.855,0.039778934580549485,0.01148318929407838,0.025274329226789693
AH17D011,Rep 1,AH17D011,7.16666666666667,12,0.8743333333333333,0.041423167284489346,0.011957838391193413,0.026319024845790778
AH17D011,Rep 1,AH17D011,7.33333333333333,12,0.903,0.04386756930083588,0.01266347647226608,0.02787212379062726
AH17D011,Rep 1,AH17D011,7.5,12,0.9320833333333334,0.04423174165344348,0.012768603975170788,0.02810350786443801
AH17D011,Rep 1,AH17D011,7.66666666666667,12,0.9581666666666666,0.04949165831151992,0.014287011124398504,0.031445499466865263
AH17D011,Rep 1,AH17D011,7.83333333333333,12,0.9884166666666666,0.051227581940934415,0.014788129111766048,0.03254845272051622
AH17D011,Rep 1,AH17D011,8,12,1.0142499999999999,0.05268107302006536,0.015207715844666535,0.033471956893001524
AH17D011,Rep 1,AH17D011,8.16666666666667,12,1.038,0.05276534675506093,0.015232043576459188,0.03352550186965585
AH17D011,Rep 1,AH17D011,8.33333333333333,12,1.05875,0.05288774561619768,0.015267377084172092,0.03360327039578593
