test,clones,APO57,CPO093,CPO165,CPO448,EA
Day 1,R1,0.070250139,6.60825625,12.96663319,15.52751833,25.37425306
Day 1,R2,1.407625417,12.359755,12.19513417,6.93563375,25.42825292
Day 1,R3,1.263000556,13.39176264,11.88188486,13.04015361,25.37975264
Day 1,R4,0.069875,10.77775194,13.49963347,13.47440583,25.23787778
Day 1,R5,0.090125,11.82612667,12.45600986,4.702385833,25.7737525
Day 1,R6,1.466500278,12.02875236,11.22601042,10.60750944,25.60287736
Day 2,R1,-0.010625,3.344125,4.589875,3.894875,9.672
Day 2,R2,0.842,5.37525,4.0735,0.64225,8.592875
Day 2,R3,0.568125,4.879875,5.770875,0.948375,7.824125
Day 2,R4,-6.25E-04,1.753625,4.125125,3.081875,7.833125
Day 2,R5,-0.005625,1.372875,4.402125,0.974875,7.542875
Day 2,R6,0.385,5.113875,5.573375,2.695125,7.972875
Day 3,R1,-0.018,2.74175,5.4055,5.154625,7.13475
Day 3,R2,1.405625,3.78175,4.628875,1.576125,6.0665
Day 3,R3,0.912,2.31975,4.177375,1.483,5.122125
Day 3,R4,-0.018875,5.697625,5.215125,0.736,4.95525
Day 3,R5,-0.02625,6.447875,5.14875,6.14975,4.814125
Day 3,R6,0.45625,7.901875,5.71775,4.748625,5.443625
Day 4,R1,-0.055873889,10.55514417,13.91474472,18.27264194,18.24901514
Day 4,R2,14.02158653,5.730885833,5.018146111,3.217687222,16.81617514
Day 4,R3,2.930695972,4.028410556,8.641467778,2.28071125,18.60462986
Day 4,R4,-0.037749167,10.56430347,4.912785417,2.479315694,17.80327972
Day 4,R5,-0.067873611,4.325930972,11.85827236,11.49782181,18.18039222
Day 4,R6,5.718381528,13.43926583,13.99073222,9.916455972,18.25451944
Day 5,R1,-2.50E-04,4.54325,7.91125,-0.0125,9.86025
Day 5,R2,3.798875,1.81475,4.286875,2.91075,8.12125
Day 5,R3,2.22325,2.552,3.123,0.747875,9.453875
Day 5,R4,7.50E-04,0.714375,3.379,1.691625,8.722
Day 5,R5,-0.0175,4.926625,3.08225,3.137125,9.4515
Day 5,R6,2.2205,3.0205,5.839625,5.02225,10.706125
Entelli 02,R4,3.477376667,4.392875417,2.799085278,3.253693472,14.85834792
Positive,R1,29.43725333,29.4567525,31.09487833,25.98900361,25.8328825
Positive,R2,8.38275,8.344375,7.411625,7.037875,7.722875
