test,days,supression
APO57,2025-01-01,0.982207708
APO57,2025-01-02,0.967425027
APO57,2025-01-03,0.929896182
APO57,2025-01-04,0.87583189
APO57,2025-01-05,0.873568286
CPO093,2025-01-01,0.730484998
CPO093,2025-01-02,0.644928039
CPO093,2025-01-03,0.550719855
CPO093,2025-01-04,0.697876632
CPO093,2025-01-05,0.740695162
CPO165,2025-01-01,0.699371001
CPO165,2025-01-02,0.490345829
CPO165,2025-01-03,0.589698292
CPO165,2025-01-04,0.635187778
CPO165,2025-01-05,0.60392166
CPO448,2025-01-01,0.703254215
CPO448,2025-01-02,0.808223378
CPO448,2025-01-03,0.680724453
CPO448,2025-01-04,0.673197042
CPO448,2025-01-05,0.793195131
EA,2025-01-01,0.323743673
EA,2025-01-02,0.303103217
EA,2025-01-03,0.437844499
EA,2025-01-04,0.273674006
EA,2025-01-05,0.203955214
